rank,uri,artist_names,track_name,peak_rank,previous_rank,weeks_on_chart,streams,week
104,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,16,95,128,6858622,7/18/2019
28,spotify:track:0VsGaRXR5WAzpu51unJTis,Ed Sheeran,Best Part of Me feat YEBBA,28,46,2,13529607,7/18/2019
121,spotify:track:6zeeWid2sgw4lap2jV61PZ,Khalid,Better,7,103,44,6149008,7/18/2019
102,spotify:track:7dt6x5M1jzdTEt8oCbisTK,Post Malone,Better Now,1,93,64,6913301,7/18/2019
66,spotify:track:7hvO2qCwJVZxiyoA7c9i5d,Ed Sheeran,BLOW with Chris Stapleton and Bruno Mars,66,108,2,8761496,7/18/2019
169,spotify:track:7K7MUBCnzgBAvMVW2RTWNs,Loud Luxury,Body,19,161,59,4902731,7/18/2019
89,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody Remastered 2011,11,83,46,7638840,7/18/2019
92,spotify:track:5KawlOMHjWeUjQtnuRs22c,BTS,Boy With Luv feat Halsey,3,77,14,7511441,7/18/2019
125,spotify:track:4kV4N9D1iKVxx1KLvtTpjS,Ariana Grande,break up with your girlfriend im bored,2,110,23,6025569,7/18/2019
69,spotify:track:4SSnFejRGlZikf02HLewEF,Billie Eilish,bury a friend,2,68,25,8369973,7/18/2019
31,spotify:track:05CwHjIk71RXVU40boRMnR,The Chainsmokers,Call You Mine,22,22,7,13256859,7/18/2019
8,spotify:track:2TH65lNHgvLxCKXM3apjxI,Bad Bunny,Callaita,7,7,7,21735586,7/18/2019
50,spotify:track:5iwz1NiezX7WWjnCgY5TH4,Pedro Capo,Calma Remix,5,44,36,10145133,7/18/2019
166,spotify:track:3y3brCCecHC3Db18aIOnny,Kygo,Carry On from the Original Motion Picture POKEMON Detective Pikachu,36,146,13,4923437,7/18/2019
196,spotify:track:5JEx7HbmvHQQswJCsoo9rA,Ellie Goulding,Close To Me with Diplo feat Swae Lee,19,181,38,4500932,7/18/2019
184,spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,The Chainsmokers,Closer,2,175,133,4639101,7/18/2019
171,spotify:track:18uwL0vNUanqZH0ro2QcOP,Jeremy Zucker,comethru,171,199,2,4865859,7/18/2019
44,spotify:track:2qG5sZ7Si6sdK74qLxedYM,ROSALIA,Con Altura,30,37,16,11070889,7/18/2019
20,spotify:track:5w9c2J52mkdntKOmRLeM2m,Daddy Yankee,Con Calma,2,13,25,15689996,7/18/2019
115,spotify:track:37eGbhE1xVFSvcKkqGb6i1,Sean Paul,Contra La Pared,60,94,18,6507293,7/18/2019
16,spotify:track:4wuCQX7JvAZLlrcmH4AeZF,Ed Sheeran,Cross Me feat Chance the Rapper and PnB Rock,9,41,8,18203708,7/18/2019
93,spotify:track:7anSoGdgtmJTAPZBzcPhO6,Dalex,Cuaderno,66,80,8,7465458,7/18/2019
187,spotify:track:6WkJ2OK163XXS2oARUC9JM,Aaron Smith,Dancin feat Luvli Krono Remix,101,176,20,4589950,7/18/2019
75,spotify:track:6Qs4SXO9dwPj5GKvVOv8Ki,Sam Smith,Dancing With A Stranger with Normani,7,69,27,8164613,7/18/2019
176,spotify:track:56f5qnyAlZdlz8wrUDA50h,Mau y Ricky,Desconocidos,34,164,36,4778641,7/18/2019
70,spotify:track:5WHTFyqSii0lmT9R21abT8,Mabel,Dont Call Me Up,11,55,24,8360495,7/18/2019
73,spotify:track:7ILEWkpfdK6AjH2D7jppWk,Chris Brown,Dont Check On Me feat Justin Bieber and Ink,39,56,3,8217403,7/18/2019
139,spotify:track:5T8EDUDqKcs6OSOwEsfqG7,Queen,Dont Stop Me Now Remastered 2011,51,131,38,5621712,7/18/2019
175,spotify:track:78QR3Wp35dqAhFEc2qAGjE,Lil Baby,Drip Too Hard Lil Baby and Gunna,13,159,44,4795520,7/18/2019
94,spotify:track:5hVghJ4KaYES3BFUATCYn0,Tyler The Creator,EARFQUAKE,6,73,9,7454575,7/18/2019
87,spotify:track:4tNXntkAzQ5A2dfYRYGIIQ,5 Seconds of Summer,Easier,23,74,8,7711702,7/18/2019
96,spotify:track:7FGq80cy8juXBCD2nrqdWU,benny blanco,Eastside with Halsey and Khalid,4,86,53,7367702,7/18/2019
101,spotify:track:2VUTPdW21gPVVTEmvdSwos,Reynmen,Ela,101,-1,1,7025162,7/18/2019
192,spotify:track:1JSTJqkT5qHq8MDJnJbRE1,The Police,Every Breath You Take,192,-1,1,4526969,7/18/2019
63,spotify:track:1Bdptrvb7nQkq8kCw3siE9,Ed Sheeran,Feels feat Young Thug and J Hus,63,-1,1,8830186,7/18/2019
82,spotify:track:5Uw7Dut2lZfexn3Y09swpf,Mark Ronson,Find U Again feat Camila Cabello,41,89,7,7943914,7/18/2019
180,spotify:track:5itOtNx0WxtJmi1TQ3RuRd,Calvin Harris,Giant with RagnBone Man,21,154,27,4723369,7/18/2019
111,spotify:track:7fa9MBXhVfQ8P8Df9OEbD8,Maroon 5,Girls Like You feat Cardi B Cardi B Version,2,96,59,6576619,7/18/2019
55,spotify:track:1kK6DwzyXJSp58u5HYWwuD,YG,Go Loko feat Tyga Jon Z,38,49,11,9536625,7/18/2019
158,spotify:track:6DCZcSspjsKoFjzjrWoCdn,Drake,Gods Plan,1,152,78,5037223,7/18/2019
132,spotify:track:2IRZnDFmlqMuOrYOLnZZyc,Meek Mill,Going Bad feat Drake,11,126,33,5785457,7/18/2019
122,spotify:track:6uAm7pG66O1XesXS9bpHSF,Lizzo,Good as Hell,122,153,2,6131781,7/18/2019
4,spotify:track:6vBdBCoOhKHiYDDOcorfNo,Post Malone,Goodbyes feat Young Thug,2,2,2,32776195,7/18/2019
51,spotify:track:2dpaYNEQHiRxtZbfNsse99,Marshmello,Happier,2,45,48,9920966,7/18/2019
199,spotify:track:5RgBnDtHKFHgtVdqabjGE3,Jax Jones,Harder with Bebe Rexha,199,-1,1,4484835,7/18/2019
113,spotify:track:6kls8cSlUyHW2BUOkDJIZE,Ellie Goulding,Hate Me with Juice WRLD,92,92,3,6539205,7/18/2019
159,spotify:track:1rfofaqEpACxVEHIZBJe6W,Camila Cabello,Havana feat Young Thug,1,163,102,5022136,7/18/2019
88,spotify:track:0vrmHPfoBadXVr2n0m1aqZ,Avicii,Heaven,13,66,6,7704066,7/18/2019
112,spotify:track:5icOoE6VgqFKohjWWNp0Ac,Marshmello,Here With Me,16,91,19,6546909,7/18/2019
100,spotify:track:1rqqCSm0Qe4I9rUvWncaom,Panic At The Disco,High Hopes,9,87,56,7130892,7/18/2019
43,spotify:track:6oJ6le65B3SEqPwMRNXWjY,Kygo,Higher Love,31,35,3,11388164,7/18/2019
170,spotify:track:7M2tXmeS15NAzEn7ABFeBg,Logic,Homicide feat Eminem,3,147,11,4871123,7/18/2019
84,spotify:track:1LIqNVhaIgxXUt2eVoIQJ3,Maluma,HP,18,72,20,7874703,7/18/2019
2,spotify:track:0hVXuCcriWRGvwMV1r5Yn9,Ed Sheeran,I Dont Care with Justin Bieber,1,3,10,38459324,7/18/2019
86,spotify:track:3FHXUqaUer9o231Je1zxIN,Ed Sheeran,I Dont Want Your Money feat HER,86,-1,1,7714728,7/18/2019
144,spotify:track:58q2HKrzhC3ozto2nDdN4z,Cardi B,I Like It,2,136,67,5442757,7/18/2019
142,spotify:track:2P91MQbaiQOfbiz9VqhqKQ,Lauv,I Like Me Better,29,143,111,5535728,7/18/2019
103,spotify:track:6CcJMwBtXByIz4zQLzFkKc,Billie Eilish,i love you,21,148,16,6886651,7/18/2019
91,spotify:track:2gTdDMpNxIRFSiu7HutMCg,Machine Gun Kelly,I Think Im OKAY with YUNGBLUD and Travis Barker,76,76,4,7571305,7/18/2019
157,spotify:track:40T5GIqQ1CegGm2PTEl8Bu,Billie Eilish,idontwannabeyouanymore,67,157,39,5084033,7/18/2019
23,spotify:track:6LsAAHotRLMOHfCsSfYCsz,Shawn Mendes,If I Cant Have You,4,20,11,14615671,7/18/2019
107,spotify:track:7COXchtUOMd6uIT6HvmRaI,Lauv,im so tired,18,88,25,6808023,7/18/2019
126,spotify:track:0E9ZjEAyAwOXZ7wJC0PD33,Dynoro,In My Mind,6,119,54,5943780,7/18/2019
172,spotify:track:0U6bQIAh6MCGo1xjbIIx2S,Dimitri Vegas and Like Mike,Instagram,139,139,2,4856495,7/18/2019
36,spotify:track:6moU77g9RQyMzHNuKEaQKq,Ali Gatie,Its You,29,29,5,12310004,7/18/2019
181,spotify:track:5opjywL6TBjJRF22TcFDMo,Loredana,Jetzt rufst du an,117,117,2,4694104,7/18/2019
167,spotify:track:7m9OqQk4RVRkw9JJdeAw96,XXXTENTACION,Jocelyn Flores,7,156,99,4915520,7/18/2019
137,spotify:track:4pUCKHjJ4Ijewc37rRrvHn,BLACKPINK,Kill This Love,5,116,15,5654065,7/18/2019
123,spotify:track:0UQwlF2pRkr1lMN6kNNUj3,Mau y Ricky,La Boca,121,121,7,6098459,7/18/2019
26,spotify:track:0fea68AdmYNygeTGI4RC18,J Balvin,LA CANCION,20,23,3,14336955,7/18/2019
35,spotify:track:51Fjme0JiitpyXKuyQiCDo,Y2K,Lalala,35,36,4,12567037,7/18/2019
109,spotify:track:2qxmye6gAegTMjLKEBoR3d,Alec Benjamin,Let Me Down Slowly,27,100,32,6633481,7/18/2019
17,spotify:track:1f38Gx6xQz6r4H1jGVNBJo,DJ Snake,Loco Contigo feat J Balvin and Tyga,17,17,5,17353639,7/18/2019
200,spotify:track:3Ol2xnObFdKV9pmRD2t9x8,A Boogie Wit da Hoodie,Look Back at It,20,171,30,4465519,7/18/2019
177,spotify:track:79esEXlqqmq0GPz0xQSZTV,Shawn Mendes,Lost In Japan,23,170,38,4764755,7/18/2019
60,spotify:track:0u2P5u6lvoDfwTYjAADbn4,Billie Eilish,lovely with Khalid,24,57,65,8984984,7/18/2019
127,spotify:track:285pBltuF7vW8TeWk8hdRR,Juice WRLD,Lucid Dreams,3,115,62,5943429,7/18/2019
81,spotify:track:79JBjIq90BrQ8Ws0pUhlzD,Mabel,Mad Love,54,62,6,8026940,7/18/2019
77,spotify:track:4MsUsFfWseB9M2plGJyuIw,Taylor Swift,ME feat Brendon Urie of Panic At The Disco,2,63,12,8134979,7/18/2019
129,spotify:track:116H0KvKr2Zl4RPuVBruDO,Bad Bunny,MIA feat Drake,1,113,40,5918960,7/18/2019
106,spotify:track:2JvzF1RMd7lE3KmFlsyZD8,J Cole,MIDDLE CHILD,2,79,26,6816776,7/18/2019
12,spotify:track:5ry2OE6R2zPQFDO85XkgRb,Drake,Money In The Grave Drake ft Rick Ross,5,10,5,19087459,7/18/2019
143,spotify:track:0JP9xo3adEtGSdUEISiszL,XXXTENTACION,Moonlight,2,133,70,5445400,7/18/2019
79,spotify:track:2WyRfGeHo97VC5mP1BBSzr,Miley Cyrus,Mothers Daughter,18,58,7,8097933,7/18/2019
163,spotify:track:7eBqSVxrzQZtK2mmgRG6lC,YNW Melly,Murder On My Mind,19,155,22,4951731,7/18/2019
27,spotify:track:5PYQUBXc7NYeI1obMKSJK0,Katy Perry,Never Really Over,10,18,7,13644041,7/18/2019
48,spotify:track:6XHVuErjQ4XNm6nDPVCxVX,Chris Brown,No Guidance feat Drake,11,43,6,10617969,7/18/2019
30,spotify:track:4R8BJggjosTswLxtkw8V7P,Jhay Cortez,No Me Conoce Remix,28,28,8,13436963,7/18/2019
42,spotify:track:2qRN7PWiHRLprw4FpDeI9N,Ed Sheeran,Nothing On You feat Paulo Londra and Dave,42,-1,1,11553707,7/18/2019
179,spotify:track:2uIX8YMNjGMD7441kqyyNU,Billie Eilish,ocean eyes,108,174,42,4756506,7/18/2019
38,spotify:track:53CJANUxooaqGOtdsBTh7O,Lil Nas X,Old Town Road,3,26,19,12230013,7/18/2019
6,spotify:track:6u7jPi22kF8CTQ3rb9DHE7,Lil Nas X,Old Town Road Remix,2,6,15,26270757,7/18/2019
68,spotify:track:6jmZlyf9DxcIoRrjw02YXm,Lil Nas X,Old Town Road Remix,68,-1,1,8544359,7/18/2019
74,spotify:track:56JyMaElW79S7TDWh1Zw1m,Ashley O,On A Roll,53,53,4,8186852,7/18/2019
130,spotify:track:4n7jnSxVLd8QioibtTDBDq,Alan Walker,On My Way,39,111,17,5911812,7/18/2019
189,spotify:track:7ef4DlsgrMEH11cDZd32M6,Calvin Harris,One Kiss with Dua Lipa,2,178,67,4577013,7/18/2019
37,spotify:track:4hPpVbbakQNv8YTHYaOJP4,Marshmello,One Thing Right,30,30,4,12285586,7/18/2019
78,spotify:track:0DiDStADDVh3SvAsoJAFMk,Jonas Brothers,Only Human,31,61,6,8113713,7/18/2019
11,spotify:track:1Ej96GIBCTvgH7tNX1r3qr,Sech,Otro Trago,4,9,12,19292972,7/18/2019
58,spotify:track:7g8YaUQABMal0zWe7a2ijz,Dalex,Pa Mi Remix,17,52,20,9035354,7/18/2019
13,spotify:track:6fTt0CH2t0mdeB2N9XFG5r,Lil Nas X,Panini,7,8,4,18630371,7/18/2019
134,spotify:track:7njKgVl3AnLflRad38o7AG,Bazzi,Paradise,33,125,15,5717240,7/18/2019
114,spotify:track:0tgVpDi06FyKpA1z0VMD4v,Ed Sheeran,Perfect,4,107,124,6522359,7/18/2019
162,spotify:track:6fxVffaTuwjgEk5h9QyRjy,Ed Sheeran,Photograph,41,166,124,4983567,7/18/2019
22,spotify:track:1DFD5Fotzgn6yYXkYsKiGs,MEDUZA,Piece Of Your Heart,14,14,14,15423921,7/18/2019
76,spotify:track:6uFn47ACjqYkc0jADwEdj1,Polo G,Pop Out feat Lil Tjay,40,71,13,8143639,7/18/2019
174,spotify:track:5qN1G8fSHq4Sv5FRoOkNGu,Paulo Londra,Por Eso Vine,174,-1,1,4814751,7/18/2019
59,spotify:track:0qc4QlcCxVTGyShurEv1UU,Sam Feldt,Post Malone feat RANI,59,65,4,8990462,7/18/2019
185,spotify:track:3swc6WTsr7rl9DqQKQA55C,Post Malone,Psycho feat Ty Dolla Sign,2,167,73,4621825,7/18/2019
136,spotify:track:3j84U36KvLeXNDPv4t5pI8,Mustard,Pure Water with Migos,38,128,26,5670337,7/18/2019
62,spotify:track:5T03itPFOPGGkvVPvPiyla,Ed Sheeran,Put It All on Me feat Ella Mai,62,-1,1,8921516,7/18/2019
105,spotify:track:7fODjB7BrQTGqh0hogW6XD,Sech,Que Mas Pues Remix,70,90,14,6822440,7/18/2019
29,spotify:track:25ZAibhr3bdlMCLmubZDVt,J Balvin,QUE PRETENDES,15,21,3,13491521,7/18/2019
182,spotify:track:7GGhY0m7PZ408BYVXgXtjt,Shindy,Raffaello,182,-1,1,4664620,7/18/2019
24,spotify:track:1kBbgxAUc4HQv7cgIayIDH,Lil Tecca,Ransom,24,24,7,14385041,7/18/2019
15,spotify:track:0AtP8EkGPn6SwxKDaUuXec,Ed Sheeran,Remember The Name feat Eminem and 50 Cent,15,-1,1,18409396,7/18/2019
56,spotify:track:0mjAU3yKR1QnXnHtjGJqTM,OneRepublic,Rescue Me,32,48,9,9466643,7/18/2019
98,spotify:track:3M9Apu4OZfylLTFKvgEtKa,Tiesto,Ritual,78,82,7,7272179,7/18/2019
97,spotify:track:0e7ipj03S05BNilyu5bRzt,Post Malone,rockstar feat 21 Savage,1,84,96,7351107,7/18/2019
52,spotify:track:4ak7xjvBeBOcJGWFDX9w5n,Lil Nas X,Rodeo,27,42,4,9817101,7/18/2019
80,spotify:track:7BuSE9uTIw931wtZYzvZcQ,Sebastian Yatra,Runaway,57,70,4,8060443,7/18/2019
128,spotify:track:3ee8Jmje8o58CHK66QrVC2,XXXTENTACION,SAD,1,114,72,5923452,7/18/2019
149,spotify:track:3xaugmCyXrVkrDTXbFkMW3,Joji,Sanctuary,50,120,5,5334440,7/18/2019
152,spotify:track:3XiNC94b4Tq1xwv70sQJGN,Lil Uzi Vert,Sanguine Paradise,38,137,14,5273825,7/18/2019
151,spotify:track:5uCax9HTNlzGybIStD3vDh,James Arthur,Say You Wont Let Go,7,149,133,5285052,7/18/2019
147,spotify:track:5W83ErFkO3aKAIS1WMi6u0,Anuel AA,Secreto,11,129,26,5375474,7/18/2019
1,spotify:track:0TK2YIli7K1leLovkQiNik,Shawn Mendes,Senorita,1,1,4,64942021,7/18/2019
45,spotify:track:2VxeLyX666F8uXCJ0dZF8B,Lady Gaga,Shallow,3,40,42,10945518,7/18/2019
90,spotify:track:7qiZfU4dY1lWllzX7mPBI3,Ed Sheeran,Shape of You,1,85,132,7573563,7/18/2019
168,spotify:track:67XyC1GdSkKb9sbRRkUDXS,NLE Choppa,Shotta Flow Feat Blueface Remix,168,-1,1,4903038,7/18/2019
135,spotify:track:5KbBGUpIZd6gVFUU8tqYiQ,Myke Towers,Si Se Da,97,123,18,5705367,7/18/2019
116,spotify:track:7MRU4vOkywuhZ9kbFiPuiu,Daddy Yankee,Si Supieras,104,104,3,6488096,7/18/2019
118,spotify:track:2xLMifQCjDGFmkHkpNLD9h,Travis Scott,SICKO MODE,2,105,50,6425697,7/18/2019
119,spotify:track:0uUNN1nSoUx1A4fkDCWDQ7,Ava Max,So Am I,41,101,19,6307279,7/18/2019
19,spotify:track:1c0hsvHLELX6y8qymnpLKL,Lunay,Soltera Remix,8,16,10,16136101,7/18/2019
14,spotify:track:7qEHsqek33rTcFNT9PFqLf,Lewis Capaldi,Someone You Loved,7,12,28,18437480,7/18/2019
188,spotify:track:6RUKPb4LETWmmr3iAEQktW,The Chainsmokers,Something Just Like This,2,183,108,4584816,7/18/2019
49,spotify:track:2x0RZdkZcD8QRI53XT4GI5,Avicii,SOS feat Aloe Blacc,4,34,15,10382149,7/18/2019
10,spotify:track:4vUmTMuQqjdnvlZmAH61Qk,Ed Sheeran,South of the Border feat Camila Cabello and Cardi B,10,-1,1,20785809,7/18/2019
197,spotify:track:1tC5WMSlsGDFfqnrquB1ty,Beyonce,SPIRIT From Disneys The Lion King,197,-1,1,4491520,7/18/2019
34,spotify:track:22vgEDb5hykfaTwLuskFGD,Jonas Brothers,Sucker,2,27,20,12871625,7/18/2019
64,spotify:track:2gwkD6igEhQbDQegRCcdoB,DaBaby,Suge,26,60,12,8806001,7/18/2019
33,spotify:track:40OMBMYRk5IQL6xCzGM0JA,Martin Garrix,Summer Days feat Macklemore and Patrick Stump of Fall Out Boy,19,25,12,12908205,7/18/2019
18,spotify:track:3KkXRkHbMCARz0aVfEt68P,Post Malone,Sunflower SpiderMan: Into the SpiderVerse,1,11,39,17072685,7/18/2019
72,spotify:track:25sgk305KZfyuqVBQIahim,Ava Max,Sweet but Psycho,6,67,42,8224472,7/18/2019
124,spotify:track:1wJRveJZLSb1rjhnUHQiv6,A Boogie Wit da Hoodie,Swervin feat 6ix9ine,25,106,29,6080633,7/18/2019
32,spotify:track:1AI7UPw3fgwAFkvAlZWhE0,Ed Sheeran,Take Me Back to London feat Stormzy,32,-1,1,13032576,7/18/2019
110,spotify:track:4w8niZpiMy6qz1mntFA5uM,DJ Snake,Taki Taki with Selena Gomez Ozuna and Cardi B,1,99,42,6611596,7/18/2019
57,spotify:track:5jW3rF4URMdK7tO2xjS5EI,Paulo Londra,Tal Vez,24,51,15,9191876,7/18/2019
47,spotify:track:6TqXcAFInzjp0bODyvrWEq,Khalid,Talk feat Disclosure,10,39,23,10684017,7/18/2019
164,spotify:track:2toVe5hfuIi97ytDPDbQFt,Tyga,Taste feat Offset,6,151,61,4929121,7/18/2019
46,spotify:track:6v0lAdFF4haL8xjBIUjtOw,Nicky Jam,Te Robare,28,38,17,10760886,7/18/2019
138,spotify:track:5s8LepdwU0THzpd0M7nLsa,Ozuna,Te Sone de Nuevo,119,124,6,5634346,7/18/2019
190,spotify:track:059bcIhyc2SBwm6sw2AZzd,Piso 21,Te Vi,50,168,27,4562391,7/18/2019
85,spotify:track:3e9HZxeyfWwjeyPAMmWSSQ,Ariana Grande,thank u next,1,75,37,7807544,7/18/2019
95,spotify:track:5dW1VZPcFqB4n0P08rGDgm,Blanco Brown,The Git Up,78,78,5,7399763,7/18/2019
41,spotify:track:7DcvwMAiqKJQD1rrdfxSDx,Young Thug,The London feat J Cole and Travis Scott,6,32,8,11730917,7/18/2019
178,spotify:track:09IStsImFySgyp0pIQdqAc,Zedd,The Middle,6,172,77,4762302,7/18/2019
154,spotify:track:0IhTEIjFaRt3B2NQYf9azQ,David Guetta,Thing For You With Martin Solveig,154,-1,1,5186062,7/18/2019
146,spotify:track:1zB4vmk8tFRmM9UULNzbLB,Imagine Dragons,Thunder,8,142,116,5426228,7/18/2019
173,spotify:track:1VEMUkGFio5uURvN8x1DZJ,Capital Bra,Tilidin,28,122,4,4821178,7/18/2019
156,spotify:track:68Vm2W4oURsPV3121vUZgB,NF,Time Edit,156,-1,1,5106513,7/18/2019
183,spotify:track:1mXVgsBdtIVeCLJnSnmtdV,Sam Smith,Too Good At Goodbyes,1,179,96,4646482,7/18/2019
198,spotify:track:3QGsuHI8jO1Rx4JWLUh9jd,Shawn Mendes,Treat You Better,26,195,53,4490711,7/18/2019
21,spotify:track:5qmq61DAAOUaW8AUo8xKhh,Lizzo,Truth Hurts,19,19,12,15641020,7/18/2019
191,spotify:track:2fuCquhmrzHpu5xcA1ci9x,Queen,Under Pressure Remastered 2011,55,188,36,4529577,7/18/2019
61,spotify:track:4lzxJ4jCuFDXXGkE1LmpKR,DJ Luian,Verte Ir,25,54,16,8967763,7/18/2019
193,spotify:track:44ZJ4hLD5onikKsVLQaILr,Stormzy,Vossi Bop,58,165,12,4514324,7/18/2019
83,spotify:track:5d1rmWWF1725tnYjq6rMDB,Ed Sheeran,Way To Break My Heart feat Skrillex,83,-1,1,7898725,7/18/2019
54,spotify:track:43zdsphuZLzwA9k4DJhU0I,Billie Eilish,when the partys over,9,50,39,9732501,7/18/2019
153,spotify:track:5QiNbIilmMiMBXvaAlf7lN,The Chainsmokers,Who Do You Love,33,144,23,5189098,7/18/2019
108,spotify:track:3Fj47GNK2kUF0uaEDgXLaD,Billie Eilish,wish you were gay,3,98,20,6684392,7/18/2019
67,spotify:track:5p7ujcrUXASCNwRaWNHR1C,Halsey,Without Me,4,64,41,8562475,7/18/2019
186,spotify:track:5qqabIl2vWzo9ApSC317sa,Oasis,Wonderwall Remastered,152,182,80,4604947,7/18/2019
53,spotify:track:6MWtB6iiXyIwun0YzU6DFP,Post Malone,Wow,2,47,30,9779238,7/18/2019
161,spotify:track:3Hh0ZcGIqIkSiJVZGLcVLx,MACHETE,YOSHI feat Fabri Fibra prod Strage,118,118,2,5000962,7/18/2019
25,spotify:track:29fRTIKsJhLUJoldM89GZS,Taylor Swift,You Need To Calm Down,4,15,5,14344313,7/18/2019
145,spotify:track:3XF5xLJHOQQRbWya6hBp7d,Billie Eilish,you should see me in a crown,15,141,25,5441733,7/18/2019
120,spotify:track:2iUXsYOEPhVqEBwsqP70rE,5 Seconds of Summer,Youngblood,8,109,66,6299287,7/18/2019
99,spotify:track:6fDC5DIa4bt6NbPZWR1yxM,Samra,Zombie,99,-1,1,7199130,7/18/2019
191,spotify:track:3JKgcAa7r07ocVWcV8bS0H,Polo G,21,161,161,3,4595820,7/16/2020
175,spotify:track:2wrJq5XKLnmhRXHIAf9xBa,Dan and Shay,10000 Hours with Justin Bieber,5,176,41,4740776,7/16/2020
132,spotify:track:6ocbgoVGwYJhOv1GgI9NsF,Ariana Grande,7 rings,1,124,78,5784485,7/16/2020
62,spotify:track:3jjujdWJ72nww5eGnfs2E7,Harry Styles,Adore You,6,48,32,9764539,7/16/2020
89,spotify:track:527k23H0A4Q0UJN3vGs0Da,Don Toliver,After Party,42,70,13,7985402,7/16/2020
105,spotify:track:1pqnQ41XbfKjaFu6M0eGJp,Tainy,Agua with J Balvin,105,-1,1,6966459,7/16/2020
169,spotify:track:2u6Jm2klS4yvAlbSHlxUwI,Robin Schulz,Alane,169,-1,1,4847828,7/16/2020
136,spotify:track:4VXIryQMWpIdGgYR4TrjT1,Juice WRLD,All Girls Are The Same,48,159,47,5726888,7/16/2020
173,spotify:track:3U4isOIWM3VvDubwSI3y7a,John Legend,All of Me,143,163,75,4795748,7/16/2020
139,spotify:track:6zEgnpM0qYmHLDnh8WPejL,J Balvin,Amarillo,26,122,17,5618682,7/16/2020
78,spotify:track:0YevRlTDW9tyIwViCyke8Q,Juice WRLD,Anxiety Intro,78,-1,1,8449557,7/16/2020
114,spotify:track:57RA3JGafJm5zRtKJiKPIm,Wallows,Are You Bored Yet feat Clairo,108,108,4,6632270,7/16/2020
177,spotify:track:7x4ASXYEKfQBCewcZhK776,KAROL G,Ay DiOs Mio,177,-1,1,4728576,7/16/2020
84,spotify:track:2lCkncy6bIB0LTMT7kvrD1,J Balvin,Azul,61,73,17,8216275,7/16/2020
27,spotify:track:0JoWBcL61YWLXM5vW0YTHO,Juice WRLD,Bad Energy,27,-1,1,14794484,7/16/2020
74,spotify:track:2Fxmhks0bxGSBdJ92vM42m,Billie Eilish,bad guy,1,59,68,8648826,7/16/2020
162,spotify:track:3QzAOrNlsabgbMwlZt7TAY,Mustard,Ballin with Roddy Ricch,37,146,41,5056364,7/16/2020
83,spotify:track:0dZpw3h6KZhcHec61qwevZ,Conkarah,Banana feat Shaggy DJ FLe Minisiren Remix,71,71,5,8221641,7/16/2020
137,spotify:track:6Gg1gjgKi2AK4e0qzsR7sd,Juice WRLD,Bandit with YoungBoy Never Broke Again,14,154,41,5709204,7/16/2020
54,spotify:track:3Z8FwOEN59mRMxDCtb8N0A,Marshmello,Be Kind with Halsey,22,44,11,10464585,7/16/2020
154,spotify:track:5f1joOtoMeyppIcJGZQvqJ,Kane Brown,Be Like That feat Swae Lee and Khalid,154,-1,1,5184053,7/16/2020
130,spotify:track:70eFcWOvlMObDhURTqT4Fv,Ed Sheeran,Beautiful People feat Khalid,3,123,55,5830126,7/16/2020
41,spotify:track:2gMXnyrvIjhVBUZwvLZDMP,Lewis Capaldi,Before You Go,19,30,34,12442619,7/16/2020
118,spotify:track:0pqnGHJpmpxLKifKRmU6WP,Imagine Dragons,Believer,16,104,180,6471875,7/16/2020
108,spotify:track:57tck8MCxkY6tcQC6VhahR,Apache 207,Blaulich,50,50,2,6854493,7/16/2020
3,spotify:track:0VjIjW4GlUZAMYd2vXMi3b,The Weeknd,Blinding Lights,1,3,33,30727192,7/16/2020
25,spotify:track:3MmCFghNjzZMn3HKqbVizn,Juice WRLD,Blood On My Jeans,25,-1,1,15277814,7/16/2020
23,spotify:track:22LAwLoDA5b4AaGSkg6bKW,Lil Mosey,Blueberry Faygo,8,16,23,15795906,7/16/2020
141,spotify:track:4u7EnebtmKWzUH433cf5Qv,Queen,Bohemian Rhapsody Remastered 2011,11,128,98,5570369,7/16/2020
195,spotify:track:6Ozh9Ok6h4Oi1wUSLtBseN,DaBaby,BOP,23,171,42,4570881,7/16/2020
109,spotify:track:78qd8dvwea0Gosb6Fe6j3k,Doja Cat,Boss Bitch,21,93,20,6817224,7/16/2020
22,spotify:track:017PF4Q3l4DBUiWoXk4OWT,Dua Lipa,Break My Heart,7,15,16,16398677,7/16/2020
11,spotify:track:3H7ihDc1dqLriiWXwsc2po,Topic,Breaking Me,9,9,17,19829211,7/16/2020
180,spotify:track:4Of7rzpRpV1mWRbhp5rAqG,Lewis Capaldi,Bruises,66,167,51,4678836,7/16/2020
49,spotify:track:6DuHcOuuGWXNvF3uocsrBa,Juice WRLD,Cant Die,49,-1,1,11121119,7/16/2020
38,spotify:track:3gD4J3RUHy4OUuZ3qAiaiG,Ozuna,Caramelo,37,37,5,12850080,7/16/2020
93,spotify:track:4wVOKKEHUJxHCFFNUWDn0B,Drake,Chicago Freestyle feat Giveon,23,72,11,7850584,7/16/2020
165,spotify:track:0KkIkfsLEJbrcIhYsCL7L5,Anuel AA,China,2,145,52,5022103,7/16/2020
